	Chiroderma_villosum	Carollia_brevicauda	Sturnira_ludovici	Artibeus_jamaicensis	Hsunycteris_thomasi	Anoura_geoffroyi	Glossophaga_soricina	Noctilio_leporinus	Mormoops_blainvillei	Macrotus_waterhousi	Pteronotus_pusillus	Desmodus_rotundus
sp|Q5E958|RS8_BOVIN	1.443088467	5.638265486	12.82077801	3.026403956	12.06280555	11.89354272	5.184149719	14.74467557	3.54374406	12.28849429	3.426896073	7.64836756
sp|P62241|RS8_HUMAN	1.443088467	5.638265486	12.82077801	3.026403956	12.06280555	11.89354272	5.184149719	14.74467557	3.54374406	12.28849429	3.426896073	7.64836756
sp|Q4R6P8|RS8_MACFA	1.443088467	5.638265486	12.82077801	3.026403956	12.06280555	11.89354272	5.184149719	14.74467557	3.54374406	12.28849429	3.426896073	7.64836756
sp|P62242|RS8_MOUSE	1.443088467	5.638265486	12.82077801	3.026403956	12.06280555	11.89354272	5.184149719	14.74467557	3.54374406	12.28849429	3.426896073	7.64836756
sp|P62243|RS8_RAT	1.443088467	5.638265486	12.82077801	3.026403956	12.06280555	11.89354272	5.184149719	14.74467557	3.54374406	12.28849429	3.426896073	7.64836756
sp|Q14574|DSC3_HUMAN	13.16719333	11.38570802	11.90583352	9.286956125	2.098093497	10.78130281	1.443088467	8.281498699	11.94494488	1.443088467	7.031221259	1.443088467
sp|P19944|RLA1_RAT	1.443088467	12.17703119	13.25263436	12.60243872	10.80624344	12.5675543	11.92391943	3.853391485	2.723479219	12.18227965	3.967099641	13.05592795
sp|P48888|COX1_FELCA	4.008470254	1.443088467	2.482495847	4.17392615	2.36178092	1.443088467	1.443088467	3.305540303	8.342914253	4.923229947	2.434103142	17.95697564
sp|Q5XIE8|ITM2B_RAT	1.443088467	4.200940307	12.11341497	1.443088467	10.63525701	11.7793771	1.443088467	1.443088467	1.443088467	1.443088467	9.579841894	1.443088467
sp|P07688|CATB_BOVIN	1.443088467	1.443088467	3.513660535	11.06453361	10.94497742	10.38811146	11.80381421	12.65320858	1.443088467	11.10083879	10.56712789	11.47565743
sp|O97680|THIO_BOVIN	1.443088467	1.443088467	1.443088467	1.443088467	1.443088467	11.75775246	1.443088467	1.443088467	11.95605512	1.443088467	11.38293888	1.443088467
sp|P09895|RL5_RAT	1.443088467	1.443088467	4.251556408	1.443088467	1.443088467	1.443088467	1.443088467	6.439103434	13.54034726	1.443088467	13.14480669	7.852749821
sp|P61286|PABP1_BOVIN	1.443088467	8.600898784	4.688169627	12.88915023	2.559309132	1.443088467	8.63134946	10.64695188	14.18875741	12.98296341	4.30306351	9.72414096
sp|P11940|PABP1_HUMAN	1.443088467	8.600898784	4.688169627	12.88915023	2.559309132	1.443088467	8.63134946	10.64695188	14.18875741	12.98296341	4.30306351	9.72414096
sp|Q5RBS9|ATPG_PONAB	10.08477898	7.200655933	9.08740104	10.87303722	11.21026845	1.443088467	12.51413357	2.566050219	1.443088467	1.443088467	1.443088467	1.443088467
sp|Q9UBG3|CRNN_HUMAN	1.443088467	12.22700889	4.462549361	10.60269493	10.68956071	12.01379499	9.787208927	1.443088467	3.064207824	12.66096379	3.100810506	12.13816514
sp|P05202|AATM_MOUSE	1.443088467	1.443088467	13.07372926	1.443088467	11.15470562	1.443088467	3.138155849	1.443088467	7.484866326	4.715919424	12.50995724	2.943035069
